#From	To
A2P2R3	YMR084W
P23201	YLL021W
P23202	YNL229C
P23248	YML063W
P23250	YIL119C
P23254	YPR074C
P23255	YCR042C
P23285	YHR057C
P23287	YLR433C
P23291	YHR135C
P23292	YNL154C
P23293	YPR161C
P23301	YEL034W
P23337	YFR015C
P23369	YGR076C
P23394	YDR243C
P23493	YKL093W
P23500	YKR052C
P23501	YKR053C
P23503	YNL240C
P23542	YLR027C
P23561	YLR362W
P23585	YMR011W
P23594	YDL134C
P23595	YDL188C
P23615	YGR116W
P23624	YHR014W
P23638	YGR135W
P23639	YML092C
P23641	YJR077C
P23642	YML115C
P23643	YDR495C
P23644	YMR203W
P23724	YBL041W
P23748	YMR036C
P23776	YLR300W
P23796	YMR283C
P23797	YMR281W
P23833	YBR037C
P23900	YLL043W
P23968	YHR026W
P24000	YGR148C
P24004	YKL197C
P24031	YBR092C
P24276	YDR293C
P24279	YEL032W
P24280	YMR079W
P24309	YKL149C
P24384	YER013W
P24482	YPR175W
P24521	YMR220W
P24583	YBL105C
P24719	YOR351C
P24720	YOR350C
P24783	YNL112W
P24784	YPL119C
P24813	YDR423C
P24814	YJR090C
P24867	YNL289W
P24868	YGR108W
P24869	YPR119W
P24870	YDL155W
P24871	YLR210W
P25036	YOR003W
P25037	YDL122W
P25038	YOL023W
P25039	YLR069C
P25040	YOL022C
P25042	YPR065W
P25043	YOR157C
P25044	YDL230W
P25045	YMR296C
P25046	YBL093C
P25087	YML008C
P25270	YOR201C
P25293	YKR048C
P25294	YNL007C
P25296	YKL190W
P25297	YML123C
P25298	YMR061W
P25299	YGL044C
P25300	YCR038C
P25301	YDR004W
P25302	YER111C
P25303	YMR214W
P25332	YCR036W
P25333	YCR008W
P25334	YCR069W
P25335	YIR029W
P25336	YCR092C
P25337	YCR063W
P25338	YGL010W
P25339	YGL014W
P25340	YGL012W
P25341	YCR091W
P25342	YCR002C
P25343	YCR009C
P25344	YCL032W
P25345	YCR024C
P25346	YCR098C
P25347	YCR001W
P25348	YCR003W
P25349	YCR004C
P25350	YCR006C
P25351	YCR023C
P25352	YCR025C
P25353	YCR026C
P25354	YCR007C
P25355	YCR054C
P25356	YCR032W
P25357	YCR033W
P25358	YCR034W
P25359	YCR035C
P25360	YCR037C
P25361	YCR043C
P25362	YCR020C
P25364	YCR065W
P25365	YCR067C
P25366	YCR095C
P25367	YCL028W
P25368	YCL031C
P25369	YCL034W
P25370	YCL036W
P25371	YCR011C
P25372	YCR083W
P25373	YCL035C
P25374	YCL017C
P25375	YCL057W
P25376	YCL025C
P25377	YCR105W
P25378	YCR027C
P25379	YCL064C
P25380	YCL048W
P25381	YCR045C
P25382	YCR072C
P25383	YCL020W
P25384	YCL019W
P25385	YLR078C
P25386	YDL058W
P25389	YCL024W
P25390	YCR073C
P25441	YDL150W
P25443	YGL123W
P25451	YER094C
P25453	YER179W
P25454	YER095W
P25491	YNL064C
P25502	YKL015W
P25515	YEL027W
P25554	YCL010C
P25555	YCL011C
P25558	YCL014W
P25559	YCL016C
P25560	YCL001W
P25563	YCL023C
P25565	YCL002C
P25566	YCL033C
P25567	YCL037C
P25568	YCL038C
P25569	YCL039W
P25571	YCL041C
P25572	YCL042W
P25573	YCL044C
P25574	YCL045C
P25575	YCL046W
P25576	YCL047C
P25577	YCL049C
P25578	YCL004W
P25579	YCL051W
P25580	YCL052C
P25582	YCL054W
P25583	YCL055W
P25584	YCL056C
P25585	YCL058C
P25586	YCL059C
P25587	YCL005W
P25588	YCL061C
P25591	YCL063W
P25593	YCL068C
P25594	YCL069W
P25596	YCL073C
P25602	YCL076W
P25603	YCL007C
P25604	YCL008C
P25605	YCL009C
P25606	YCR100C
P25607	YCR101C
P25608	YCR102C
P25610	YCR104W
P25611	YCR106W
P25612	YCR107W
P25613	YCR010C
P25614	YCR013C
P25615	YCR014C
P25616	YCR015C
P25617	YCR016W
P25618	YCR017C
P25619	YCR021C
P25620	YCR022C
P25621	YCR028C
P25623	YCR030C
P25625	YCR044C
P25626	YCR046C
P25627	YCR047C
P25628	YCR048W
P25629	YCR049C
P25630	YCR050C
P25631	YCR051W
P25632	YCR052W
P25635	YCR057C
P25637	YCR059C
P25638	YCR060W
P25639	YCR061W
P25640	YCR064C
P25641	YCR068W
P25642	YCR071C
P25644	YCR077C
P25646	YCR079W
P25648	YCR081W
P25649	YCR082W
P25650	YCR085W
P25651	YCR086W
P25652	YCR087W
P25653	YCR089W
P25654	YCR090C
P25655	YCR093W
P25656	YCR094W
P25657	YCR099C
P25659	YCR076C
P25693	YDL127W
P25694	YDL126C
P25719	YML078W
P25808	YFL002C
P25846	YHR120W
P25847	YOL090W
P26188	YDL200C
P26263	YGR087C
P26309	YGL116W
P26321	YPL131W
P26343	YKR034W
P26364	YER170W
P26370	YDL170W
P26448	YMR055C
P26449	YOR026W
P26570	YML016C
P26637	YPL160W
P26725	YJL139C
P26754	YNL312W
P26755	YJL173C
P26783	YJR123W
P26784	YIL133C
P26785	YNL069C
P26786	YOR096W
P26793	YKL113C
P26798	YDR123C
P27344	YBR278W
P27351	YJR005W
P27466	YFR014C
P27472	YLR258W
P27476	YGR159C
P27514	YNR013C
P27515	YNR012W
P27614	YJL172W
P27616	YAR015W
P27636	YAR019C
P27637	YAR014C
P27654	YBR067C
P27680	YOL096C
P27692	YML010W
P27697	YGL119W
P27705	YGL035C
P27796	YIL160C
P27801	YLR148W
P27809	YDR483W
P27810	YOR099W
P27825	YAL058W
P27882	YGR029W
P27895	YEL061C
P27929	YNL137C
P27999	YGL070C
P28000	YNL113W
P28003	YAL034C
P28004	YAL032C
P28005	YAL033W
P28006	YOR178C
P28007	YHR089C
P28239	YMR267W
P28240	YER065C
P28241	YOR136W
P28263	YEL012W
P28272	YKL216W
P28273	YKL215C
P28274	YBL039C
P28319	YKL096W
P28320	YKL095W
P28321	YKL094W
P28495	YKL007W
P28496	YKL008C
P28519	YMR201C
P28584	YKR050W
P28625	YMR152W
P28626	YMR151W
P28627	YMR150C
P28707	YKL117W
P28708	YKL116C
P28737	YGR028W
P28742	YBL063W
P28743	YPL155C
P28777	YGL148W
P28778	YKL003C
P28789	YDL205C
P28791	YDR498C
P28795	YDR329C
P28817	YDR036C
P28834	YNL037C
P29029	YLR286C
P29055	YPR086W
P29056	YGR246C
P29295	YPL204W
P29311	YER177W
P29340	YGR133W
P29366	YBR200W
P29453	YLL045C
P29461	YOR208W
P29465	YBR023C
P29467	YER044C-A
P29468	YKR002W
P29469	YBL023C
P29478	YML105C
P29496	YLR274W
P29509	YDR353W
P29539	YBR275C
P29547	YPL048W
P29589	YHR093W
P29703	YKL019W
P29704	YHR190W
P29952	YER003C
P30283	YPR120C
P30402	YMR271C
P30605	YDR497C
P30606	YOL103W
P30619	YDR164C
P30620	YMR137C
P30624	YOR317W
P30656	YPR103W
P30657	YFR050C
P30665	YPR019W
P30771	YMR080C
P30775	YGL143C
P30777	YGL142C
P30822	YGR218W
P30902	YKL016C
P30952	YNL117W
P31109	YAL030W
P31111	YDR285W
P31115	YFL001W
P31116	YJR139C
P31244	YBR114W
P31334	YGR220C
P31373	YAL012W
P31374	YAL017W
P31376	YAL011W
P31377	YAL014C
P31378	YAL015C
P31379	YAL018C
P31380	YAL019W
P31381	YAL022C
P31382	YAL023C
P31383	YAL016W
P31384	YAL021C
P31385	YAL013W
P31386	YAL020C
P31412	YKL080W
P31539	YLL026W
P31688	YDR074W
P31755	YGL038C
P31787	YGR037C
P32047	YNL074C
P32048	YNL073W
P32074	YNL287W
P32178	YPR060C
P32179	YOL064C
P32190	YHL032C
P32191	YIL155C
P32259	YNL236W
P32263	YER023W
P32264	YDR300C
P32266	YOR211C
P32288	YPR035W
P32316	YBL015W
P32317	YEL052W
P32318	YGR144W
P32319	YBL017C
P32323	YNR044W
P32324	YDR385W
P32324	YOR133W
P32325	YDR052C
P32327	YBR218C
P32328	YPR111W
P32329	YLR120C
P32330	YKL121W
P32331	YPR058W
P32332	YKL120W
P32333	YPL082C
P32334	YGR014W
P32335	YLR203C
P32336	YOR373W
P32337	YMR308C
P32338	YGR044C
P32339	YLR205C
P32340	YML120C
P32341	YKL119C
P32342	YKL122C
P32343	YKL124W
P32344	YLR204W
P32345	YDR075W
P32347	YDR047W
P32349	YPR190C
P32350	YLL019C
P32351	YIL154C
P32352	YMR202W
P32353	YLR056W
P32354	YIL150C
P32356	YDR001C
P32357	YBL074C
P32361	YHR079C
P32363	YPL175W
P32364	YKL079W
P32366	YLR447C
P32367	YBR123C
P32368	YKL212W
P32375	YIR027C
P32377	YNR043W
P32378	YNR041C
P32379	YGR253C
P32380	YDR356W
P32381	YDL029W
P32383	YPL268W
P32385	YLL046C
P32386	YLL048C
P32387	YDR405W
P32388	YKL167C
P32419	YDL078C
P32432	YLR403W
P32435	YGL089C
P32445	YCR028C-A
P32447	YJL115W
P32448	YDL197C
P32449	YBR249C
P32450	YFL010W-A
P32451	YGR286C
P32452	YNL316C
P32453	YNL315C
P32454	YKL157W
P32457	YLR314C
P32458	YJR076C
P32459	YIR032C
P32460	YIR030C
P32461	YKL191W
P32462	YNL280C
P32463	YKL192C
P32464	YKL189W
P32465	YHR094C
P32466	YDR345C
P32467	YHR092C
P32468	YHR107C
P32469	YLR172C
P32471	YAL003W
P32472	YDR519W
P32473	YBR221C
P32474	YDR518W
P32475	YGR176W
P32476	YGR175C
P32477	YJL101C
P32478	YJL159W
P32479	YBL008W
P32480	YOR038C
P32481	YER025W
P32485	YLR113W
P32486	YPR159W
P32487	YNL268W
P32488	YMR081C
P32489	YPL121C
P32490	YOR231W
P32491	YPL140C
P32492	YAL029C
P32493	YMR064W
P32494	YDR176W
P32495	YDL208W
P32496	YFR052W
P32497	YMR309C
P32499	YLR335W
P32500	YML031W
P32501	YDR211W
P32502	YLR291C
P32504	YGR140W
P32505	YGL122C
P32521	YIR006C
P32522	YLR067C
P32523	YLL036C
P32524	YJL203W
P32525	YJL201W
P32526	YPL269W
P32527	YGR285C
P32528	YBR208C
P32529	YJR063W
P32558	YGL207W
P32559	YMR023C
P32561	YNL330C
P32562	YMR001C
P32563	YOR270C
P32564	YGR049W
P32565	YIL075C
P32566	YGR229C
P32567	YMR165C
P32568	YDR011W
P32569	YER022W
P32570	YBR253W
P32571	YDR069C
P32572	YNL204C
P32573	YNL202W
P32578	YDR422C
P32579	YGL169W
P32580	YPL029W
P32581	YJL106W
P32582	YGR155W
P32583	YKR092C
P32584	YDR410C
P32585	YGR104C
P32588	YNL016W
P32589	YPL106C
P32590	YBR169C
P32591	YJL176C
P32597	YIL126W
P32598	YER133W
P32599	YDR129C
P32600	YKL203C
P32601	YPR017C
P32602	YBL050W
P32603	YOR190W
P32604	YJL155C
P32605	YBR119W
P32606	YOR017W
P32607	YOL067C
P32608	YGL252C
P32609	YDR323C
P32610	YEL051W
P32611	YEL050C
P32612	YEL049W
P32613	YEL048C
P32614	YEL047C
P32616	YEL045C
P32617	YEL044W
P32618	YEL043W
P32621	YEL042W
P32622	YEL041W
P32623	YEL040W
P32626	YEL038W
P32628	YEL037C
P32629	YEL036C
P32630	YEL035C
P32633	YEL033W
P32634	YER132C
P32639	YER172C
P32641	YER173W
P32642	YER174C
P32643	YER175C
P32644	YER176W
P32645	YER180C
P32656	YER163C
P32657	YER164W
P32660	YER166W
P32767	YGL016W
P32768	YAR050W
P32769	YKR084C
P32770	YDL167C
P32771	YDL168W
P32772	YDL169C
P32773	YOR194C
P32774	YKL058W
P32775	YEL011W
P32776	YDR311W
P32781	YGL032C
P32783	YBR236C
P32784	YBL011W
P32785	YBL013W
P32786	YBL014C
P32787	YJR144W
P32788	YBL010C
P32789	YBL009W
P32790	YBL007C
P32791	YLR214W
P32792	YHR017W
P32793	YHR016C
P32794	YLR397C
P32795	YPR024W
P32796	YML042W
P32797	YDL220C
P32798	YOR316C
P32799	YGL191W
P32800	YJL210W
P32801	YKL048C
P32802	YLR083C
P32803	YGL200C
P32804	YGL255W
P32805	YGL254W
P32806	YJL044C
P32807	YMR284W
P32828	YDL013W
P32829	YMR224C
P32830	YBR091C
P32831	YBR212W
P32832	YMR091C
P32833	YBR060C
P32835	YLR293C
P32836	YOR185C
P32837	YDL210W
P32838	YNR032W
P32839	YDR375C
P32841	YMR133W
P32842	YPL234C
P32843	YMR302C
P32844	YIL068C
P32849	YLR032W
P32854	YOR036W
P32855	YPR055W
P32857	YKL039W
P32858	YKL037W
P32859	YKL036C
P32860	YKL040C
P32861	YKL035W
P32862	YKL038W
P32863	YGL163C
P32864	YOR370C
P32867	YPL232W
P32873	YPL115C
P32875	YOR196C
P32891	YDL174C
P32892	YLL008W
P32893	YGR166W
P32895	YKL181W
P32896	YDR081C
P32897	YNR017W
P32898	YDR430C
P32899	YHR148W
P32900	YHR149C
P32901	YKR093W
P32902	YHL004W
P32903	YCR024C-A
P32904	YHR147C
P32905	YGR214W
P32906	YJR131W
P32907	YNR002C
P32908	YFL008W
P32909	YBR172C
P32910	YNR003C
P32911	YNL244C
P32912	YGL212W
P32913	YOR132W
P32914	YGR063C
P32915	YLR378C
P32916	YDR292C
P32917	YDR103W
P32939	YML001W
P32943	YGR109C
P32944	YJL187C
P32945	YPL179W
P33122	YOR344C
P33199	YGL015C
P33200	YBL005W
P33201	YKL009W
P33202	YKL010C
P33203	YKL012W
P33204	YKL013C
P33296	YER100W
P33297	YOR117W
P33298	YDR394W
P33299	YKL145W
P33300	YPL057C
P33301	YDR369C
P33302	YOR153W
P33303	YJR095W
P33304	YDR085C
P33306	YER167W
P33307	YGL238W
P33308	YNR010W
P33309	YNL001W
P33310	YLR188W
P33311	YPL270W
P33312	YBR153W
P33313	YBR155W
P33314	YKL092C
P33315	YBR117C
P33317	YBR252W
P33322	YLR175W
P33323	YHR157W
P33324	YKL091C
P33327	YDL215C
P33328	YOR327C
P33329	YDR436W
P33330	YOR184W
P33331	YER009W
P33332	YER008C
P33333	YDL052C
P33334	YHR165C
P33335	YPR198W
P33336	YGR143W
P33338	YNL243W
P33339	YGR047C
P33399	YDL051W
P33400	YHL027W
P33401	YKL127W
P33411	YGR006W
P33412	YGR007W
P33413	YHL016C
P33416	YDR258C
P33417	YKL032C
P33418	YKL205W
P33419	YPL124W
P33420	YPL174C
P33421	YKL141W
P33441	YML062C
P33442	YLR441C
P33448	YOR045W
P33550	YKR061W
P33734	YBR248C
P33748	YMR037C
P33749	YKL062W
P33750	YLL011W
P33751	YDR538W
P33753	YKR056W
P33754	YBR171W
P33755	YBR170C
P33757	YBR250W
P33759	YBR251W
P33760	YNL329C
P33767	YEL002C
P33775	YDL095W
P33890	YOR010C
P33891	YGL145W
P33892	YGL195W
P33893	YBL080C
P33894	YOR219C
P33895	YOL069W
P34072	YNL076W
P34077	YFR002W
P34078	YKL143W
P34087	YDR404C
P34110	YJL154C
P34111	YAL001C
P34160	YMR125W
P34161	YML027W
P34162	YHR041C
P34163	YKL140W
P34164	YGL208W
P34165	YDR461W
P34166	YNL145W
P34167	YPR163C
P34215	YBR144C
P34216	YBL047C
P34217	YBL051C
P34218	YBL052C
P34219	YBL054W
P34220	YBL055C
P34221	YBL056W
P34222	YBL057C
P34223	YBL058W
P34224	YBL059W
P34225	YBL060W
P34226	YBL061C
P34227	YBL064C
P34228	YBL066C
P34230	YKL188C
P34231	YKL187C
P34232	YKL186C
P34233	YKL185W
P34234	YKL183W
P34237	YKL179C
P34238	YKL177W
P34239	YKL176C
P34240	YKL175W
P34241	YKL014C
P34243	YKL017C
P34244	YKL101W
P34245	YKL097C
P34246	YKL098W
P34247	YKL099C
P34248	YKL100C
P34249	YKL102C
P34250	YKL105C
P34251	YKL107W
P34252	YKL108W
P34253	YKL110C
P34730	YDR099W
P34756	YFR019W
P34758	YOR329C
P34760	YML028W
P34761	YNL197C
P34909	YER068W
P35056	YDR244W
P35127	YJR099W
P35169	YJR066W
P35172	YBR001C
P35176	YDR304C
P35177	YBR081C
P35178	YDR087C
P35179	YDR086C
P35180	YGR082W
P35181	YLR170C
P35182	YDL006W
P35183	YBL069W
P35184	YIR012W
P35187	YMR190C
P35189	YPL129W
P35190	YGL215W
P35191	YFL016C
P35192	YMR021C
P35193	YOL082W
P35194	YBL004W
P35195	YBL001C
P35196	YBR002C
P35197	YDL226C
P35198	YDR277C
P35200	YLR168C
P35201	YKL089W
P35202	YOR143C
P35203	YMR094W
P35206	YBR036C
P35207	YLR398C
P35208	YJL127C
P35209	YMR179W
P35210	YKL020C
P35497	YJR159W
P35688	YDL240W
P35691	YKL056C
P35718	YKL144C
P35719	YKL142W
P35723	YKL065C
P35724	YKL064W
P35725	YKL063C
P35727	YKL061W
P35728	YKL059C
P35729	YKL057C
P35731	YKL055C
P35732	YKL054C
P35733	YKL053W
P35734	YKL052C
P35735	YKL051W
P35736	YKL050C
P35817	YLR399C
P35842	YAR071W
P35843	YOR237W
P35844	YPL145C
P35845	YAR042W
P35994	YKL224C
P35995	YKL222C
P35996	YKL170W
P35997	YKL156W
P35999	YKL134C
P36000	YKL135C
P36001	YKL132C
P36002	YKL198C
P36003	YKL171W
P36004	YKL168C
P36005	YKL161C
P36006	YKL129C
P36007	YKL218C
P36008	YKL081W
P36009	YKL078W
P36010	YKL067W
P36012	YKL049C
P36013	YKL029C
P36014	YKL026C
P36015	YKL196C
P36016	YKL073W
P36017	YOR089C
P36018	YKR014C
P36019	YNL093W
P36022	YKR054C
P36023	YKR064W
P36024	YKR072C
P36025	YOR062C
P36026	YKR098C
P36027	YLR332W
P36029	YKL174C
P36030	YKL225W
P36031	YKL223W
P36032	YKL221W
P36033	YKL220C
P36034	YKL219W
P36035	YKL217W
P36036	YKL214C
P36037	YKL213C
P36038	YKL208W
P36039	YKL207W
P36040	YKL206C
P36041	YKL204W
P36042	YKL202W
P36044	YKL201C
P36046	YKL195W
P36047	YKL193C
P36048	YKL173W
P36049	YKL172W
P36050	YKL169C
P36051	YKL165C
P36052	YKL162C
P36053	YKL160W
P36054	YKL159C
P36056	YKL155C
P36057	YKL154W
P36058	YKL153W
P36059	YKL151C
P36060	YKL150W
P36061	YKL147C
P36062	YKL146W
P36064	YKL137W
P36065	YKL136W
P36066	YKL133C
P36067	YKL131W
P36068	YKL130C
P36069	YKL128C
P36070	YKL125W
P36071	YKL123W
P36072	YKL118W
P36073	YKL115C
P36074	YKL111C
P36075	YKL090W
P36076	YKL088W
P36077	YKL086W
P36078	YKL084W
P36079	YKL083W
P36080	YKL082C
P36081	YKL077W
P36082	YKL076C
P36083	YKL075C
P36084	YKL074C
P36085	YKL072W
P36086	YKL071W
P36087	YKL070W
P36088	YKL069W
P36089	YKL066W
P36090	YKL047W
P36091	YKL046C
P36092	YKL044W
P36093	YKL043W
P36094	YKL042W
P36095	YKL041W
P36096	YKL034W
P36097	YKL033W
P36098	YKL031W
P36099	YKL030W
P36100	YKL028W
P36101	YKL027W
P36102	YKL025C
P36103	YKL023W
P36104	YKL018W
P36105	YKL006W
P36106	YKL005C
P36107	YKL004W
P36108	YKL002W
P36110	YKR013W
P36111	YKR015C
P36112	YKR016W
P36113	YKR017C
P36114	YKR018C
P36115	YKR019C
P36116	YKR020W
P36117	YKR021W
P36118	YKR022C
P36119	YKR023W
P36120	YKR024C
P36121	YKR025W
P36122	YKR027W
P36123	YKR028W
P36124	YKR029C
P36125	YKR030W
P36126	YKR031C
P36127	YKR032W
P36128	YKR033C
P36129	YKR035C
P36130	YKR036C
P36131	YKR037C
P36132	YKR038C
P36133	YKR040C
P36134	YKR041W
P36135	YKR042W
P36136	YKR043C
P36137	YKR044W
P36138	YKR045C
P36139	YKR046C
P36140	YKR047W
P36141	YKR049C
P36142	YKR051W
P36143	YKR058W
P36144	YKR060W
P36145	YKR062W
P36146	YKR063C
P36147	YKR065C
P36148	YKR067W
P36149	YKR068C
P36150	YKR069W
P36151	YKR070W
P36152	YKR071C
P36153	YKR073C
P36154	YKR074W
P36155	YKR075C
P36156	YKR076W
P36157	YKR077W
P36158	YKR078W
P36159	YKR079C
P36160	YKR081C
P36161	YKR082W
P36162	YKR083C
P36163	YKR087C
P36164	YKR088C
P36165	YKR089C
P36166	YKR090W
P36167	YKR091W
P36168	YKR096W
P36169	YKR100C
P36170	YKR102W
P36172	YKR105C
P36173	YKR106W
P36224	YMR294W
P36421	YGR185C
P36516	YMR024W
P36517	YLR439W
P36519	YDR237W
P36520	YNL284C
P36521	YDL202W
P36523	YLR312W-A
P36525	YMR193W
P36526	YBR282W
P36527	YDR462W
P36528	YNL252C
P36531	YBR122C
P36532	YBR268W
P36533	YML009C
P36534	YPL173W
P36775	YBL022C
P36973	YDR441C
P37012	YMR105C
P37020	YJR040W
P37254	YNR033W
P37261	YCL026C-A
P37262	YCR073W-A
P37263	YCR087C-A
P37264	YCL065W
P37265	YCR041W
P37291	YLR058C
P37292	YBR263W
P37293	YGR147C
P37296	YMR054W
P37297	YLR305C
P37298	YDR178W
P37299	YHR001W-A
P37302	YBR286W
P37303	YEL046C
P37304	YDR251W
P37366	YPR025C
P37370	YLR337C
P37838	YPL043W
P37898	YHR047C
P38009	YMR120C
P38011	YMR116C
P38013	YLR109W
P38041	YBL085W
P38042	YBL084C
P38061	YBL092W
P38063	YBL068W
P38064	YBL038W
P38065	YBL037W
P38066	YBL033C
P38067	YBR006W
P38068	YBR014C
P38069	YBR015C
P38070	YBR028C
P38071	YBR026C
P38072	YBR024W
P38073	YBR033W
P38074	YBR034C
P38075	YBR035C
P38077	YBR039W
P38079	YBR054W
P38080	YBR059C
P38081	YBR056W
P38082	YBR066C
P38083	YBR063C
P38084	YBR068C
P38085	YBR069C
P38086	YBR073W
P38087	YBR104W
P38089	YBR125C
P38090	YBR132C
P38109	YBR139W
P38110	YBL088C
P38111	YBR136W
P38112	YBR142W
P38113	YBR145W
P38114	YBR150C
P38115	YBR149W
P38116	YBR164C
P38120	YBR146W
P38121	YBL035C
P38122	YBR176W
P38123	YBR175W
P38124	YBR008C
P38125	YBR180W
P38126	YBR186W
P38127	YBR192W
P38128	YBR182C
P38129	YBR198C
P38130	YBR205W
P38131	YBR199W
P38132	YBR202W
P38137	YBR222C
P38138	YBR229C
P38139	YBR204C
P38140	YBR239C
P38141	YBR240C
P38142	YBR241C
P38143	YBR244W
P38144	YBR245C
P38145	YBR256C
P38146	YBR264C
P38147	YBR274W
P38148	YBR276C
P38149	YBR281C
P38150	YBR284W
P38151	YBR233W
P38152	YBR291C
P38153	YBR288C
P38155	YBR301W
P38156	YBR298C
P38157	YBR297W
P38158	YBR299W
P38161	YBL108W
P38162	YBL107C
P38163	YBL106C
P38164	YBL104C
P38165	YBL103C
P38166	YBL102W
P38167	YBL101C
P38168	YBL100C
P38169	YBL098W
P38170	YBL097W
P38171	YBL096C
P38172	YBL095W
P38173	YBL094C
P38174	YBL091C
P38175	YBL090W
P38176	YBL089W
P38177	YBL086C
P38178	YBL083C
P38179	YBL082C
P38180	YBL081W
P38181	YBL079W
P38182	YBL078C
P38183	YBL077W
P38184	YBL073W
P38185	YBL071C
P38186	YBL070C
P38187	YBL067C
P38188	YBL065W
P38189	YBL062W
P38190	YBL053W
P38191	YBL049W
P38192	YBL048W
P38193	YBL046W
P38194	YBL044W
P38195	YBL043W
P38196	YBL042C
P38197	YBL036C
P38198	YBL034C
P38199	YBL032W
P38200	YBL031W
P38201	YBL029W
P38202	YBL028C
P38203	YBL026W
P38204	YBL025W
P38205	YBL024W
P38206	YBL020W
P38207	YBL019W
P38208	YBL018C
P38209	YBL012C
P38210	YBL006C
P38211	YBR004C
P38212	YBR005W
P38213	YBR007C
P38214	YBR012C
P38215	YBR013C
P38216	YBR016W
P38217	YBR017C
P38218	YBR022W
P38219	YBR025C
P38220	YBR027C
P38221	YBR029C
P38222	YBR030W
P38223	YBR032W
P38224	YBR040W
P38225	YBR041W
P38226	YBR042C
P38227	YBR043C
P38228	YBR044C
P38229	YBR045C
P38230	YBR046C
P38231	YBR047W
P38232	YBR050C
P38233	YBR051W
P38234	YBR052C
P38235	YBR053C
P38236	YBR057C
P38237	YBR058C
P38238	YBR061C
P38239	YBR062C
P38240	YBR064W
P38241	YBR065C
P38242	YBR070C
P38243	YBR071W
P38244	YBR074W
P38246	YBR076W
P38247	YBR077C
P38248	YBR078W
P38249	YBR079C
P38250	YBR086C
P38251	YBR087W
P38252	YBR089W
P38253	YBR090C
P38254	YBR094W
P38255	YBR095C
P38256	YBR096W
P38257	YBR098W
P38258	YBR099C
P38260	YBR101C
P38261	YBR102C
P38262	YBR103W
P38263	YBR105C
P38264	YBR106W
P38265	YBR107C
P38266	YBR108W
P38267	YBR113W
P38268	YBR116C
P38269	YBR124W
P38270	YBR128C
P38271	YBR129C
P38272	YBR130C
P38273	YBR131W
P38274	YBR133C
P38275	YBR134W
P38276	YBR137W
P38277	YBR138C
P38278	YBR141C
P38279	YBR147W
P38280	YBR148W
P38281	YBR151W
P38282	YBR152W
P38283	YBR156C
P38284	YBR157C
P38285	YBR158W
P38286	YBR159W
P38287	YBR161W
P38288	YBR162C
P38289	YBR163W
P38290	YBR165W
P38291	YBR167C
P38292	YBR168W
P38293	YBR173C
P38294	YBR174C
P38295	YBR177C
P38296	YBR178W
P38297	YBR179C
P38298	YBR183W
P38299	YBR184W
P38300	YBR185C
P38301	YBR187W
P38302	YBR188C
P38303	YBR190W
P38304	YBR193C
P38305	YBR194W
P38306	YBR197C
P38307	YBR201W
P38308	YBR203W
P38309	YBR206W
P38310	YBR207W
P38311	YBR209W
P38312	YBR210W
P38313	YBR211C
P38314	YBR214W
P38315	YBR216C
P38316	YBR217W
P38317	YBR219C
P38318	YBR220C
P38319	YBR223C
P38320	YBR224W
P38321	YBR225W
P38322	YBR226C
P38323	YBR227C
P38324	YBR228W
P38325	YBR230C
P38326	YBR231C
P38327	YBR232C
P38328	YBR234C
P38329	YBR235W
P38330	YBR238C
P38331	YBR242W
P38332	YBR246W
P38333	YBR247C
P38334	YBR254C
P38335	YBR255W
P38336	YBR257W
P38337	YBR258C
P38338	YBR259W
P38339	YBR260C
P38340	YBR261C
P38341	YBR262C
P38342	YBR265W
P38344	YBR267W
P38345	YBR269C
P38346	YBR270C
P38347	YBR271W
P38348	YBR272C
P38349	YBR273C
P38350	YBR277C
P38351	YBR279W
P38352	YBR280C
P38353	YBR283C
P38354	YBR285W
P38355	YBR287W
P38356	YBR290W
P38357	YBR292C
P38358	YBR293W
P38359	YBR294W
P38360	YBR295W
P38361	YBR296C
P38362	YBR300C
P38374	YBR162W-A
P38426	YMR261C
P38427	YML100W
P38428	YMR264W
P38429	YMR263W
P38430	YMR262W
P38431	YPR041W
P38439	YOR123C
P38523	YOR232W
P38555	YER031C
P38590	YNL053W
P38604	YHR072W
P38615	YMR139W
P38616	YNL160W
P38620	YER099C
P38622	YGL158W
P38623	YLR248W
P38624	YJL001W
P38625	YMR217W
P38626	YIL043C
P38627	YJR103W
P38628	YEL058W
P38629	YNL290W
P38630	YOR217W
P38631	YLR342W
P38632	YEL019C
P38633	YGL127C
P38634	YLR079W
P38635	YFR025C
P38636	YNL259C
P38637	YIR011C
P38682	YER122C
P38687	YPL243W
P38688	YPL210C
P38689	YHL011C
P38690	YHR033W
P38691	YHR082C
P38692	YHR102W
P38693	YHR215W
P38694	YHR039C
P38695	YHR096C
P38696	YHR129C
P38697	YHR216W
P38698	YHR201C
P38699	YHR178W
P38700	YHL019C
P38701	YHL015W
P38702	YHR002W
P38703	YHL003C
P38704	YHR006W
P38705	YHR011W
P38707	YHR019C
P38708	YHR020W
P38709	YHL012W
P38710	YHR046C
P38711	YHR021C
P38712	YHR065C
P38713	YHR073W
P38714	YHR091C
P38715	YHR104W
P38716	YHR112C
P38717	YNL257C
P38719	YHR169W
P38720	YHR183W
P38721	YHL050C
P38722	YHL049C
P38723	YHL048W
